[Running] cd "d:\Git\NS\" && g++ NS.cpp -o NS && "d:\Git\NS\"NS
j=1,i=0,output=0,N_S=0,N_v=0,S_v=0,%=0,
j=1,i=79,output=3,N_S=79,N_v=79,S_v=0,%=1,

j=1,i=80,output=3,N_S=80,N_v=80,S_v=0,%=1,

j=1,i=81,output=3,N_S=81,N_v=81,S_v=0,%=1,

j=1,i=82,output=3,N_S=82,N_v=82,S_v=0,%=1,

j=1,i=83,output=3,N_S=83,N_v=83,S_v=0,%=1,

j=1,i=84,output=3,N_S=84,N_v=84,S_v=0,%=1,

j=1,i=85,output=3,N_S=85,N_v=85,S_v=0,%=1,

j=1,i=86,output=3,N_S=86,N_v=86,S_v=0,%=1,

j=1,i=87,output=3,N_S=87,N_v=87,S_v=0,%=1,

j=1,i=88,output=3,N_S=88,N_v=88,S_v=0,%=1,

j=1,i=89,output=3,N_S=89,N_v=89,S_v=0,%=1,

j=1,i=90,output=3,N_S=90,N_v=90,S_v=0,%=1,

j=1,i=91,output=3,N_S=91,N_v=91,S_v=0,%=1,

j=1,i=92,output=3,N_S=92,N_v=92,S_v=0,%=1,

j=1,i=93,output=3,N_S=93,N_v=93,S_v=0,%=1,

j=1,i=94,output=3,N_S=94,N_v=94,S_v=0,%=1,

j=1,i=95,output=3,N_S=95,N_v=95,S_v=0,%=1,

j=1,i=96,output=3,N_S=96,N_v=96,S_v=0,%=1,

j=1,i=97,output=3,N_S=97,N_v=97,S_v=0,%=1,

j=1,i=98,output=3,N_S=98,N_v=98,S_v=0,%=1,

j=1,i=99,output=3,N_S=99,N_v=99,S_v=0,%=1,

j=1,i=100,output=3,N_S=100,N_v=100,S_v=0,%=1,

j=1,i=101,output=20,N_S=100,N_v=101,S_v=0,%=1.01,

j=1,i=102,output=2,N_S=102,N_v=102,S_v=0,%=1,

j=1,i=103,output=2,N_S=103,N_v=103,S_v=0,%=1,

j=1,i=104,output=2,N_S=104,N_v=104,S_v=0,%=1,

j=1,i=105,output=2,N_S=105,N_v=105,S_v=0,%=1,

j=1,i=106,output=2,N_S=106,N_v=106,S_v=0,%=1,

j=1,i=107,output=2,N_S=107,N_v=107,S_v=0,%=1,

j=1,i=108,output=2,N_S=108,N_v=108,S_v=0,%=1,

j=1,i=109,output=2,N_S=109,N_v=109,S_v=0,%=1,

j=1,i=110,output=2,N_S=110,N_v=110,S_v=0,%=1,

j=1,i=111,output=2,N_S=111,N_v=111,S_v=0,%=1,

j=1,i=112,output=2,N_S=112,N_v=112,S_v=0,%=1,

j=1,i=113,output=2,N_S=113,N_v=113,S_v=0,%=1,

j=1,i=114,output=2,N_S=114,N_v=114,S_v=0,%=1,

j=1,i=115,output=2,N_S=115,N_v=115,S_v=0,%=1,

j=1,i=116,output=2,N_S=116,N_v=116,S_v=0,%=1,

j=1,i=117,output=2,N_S=117,N_v=117,S_v=0,%=1,

j=1,i=118,output=2,N_S=118,N_v=118,S_v=0,%=1,

j=1,i=119,output=2,N_S=119,N_v=119,S_v=0,%=1,

j=1,i=120,output=2,N_S=120,N_v=120,S_v=0,%=1,

j=1,i=121,output=2,N_S=121,N_v=121,S_v=0,%=1,

j=1,i=122,output=2,N_S=122,N_v=122,S_v=0,%=1,

j=1,i=123,output=2,N_S=123,N_v=123,S_v=0,%=1,

j=1,i=124,output=2,N_S=124,N_v=124,S_v=0,%=1,

j=1,i=125,output=2,N_S=125,N_v=125,S_v=0,%=1,

j=1,i=126,output=2,N_S=126,N_v=126,S_v=0,%=1,

j=1,i=127,output=2,N_S=127,N_v=127,S_v=0,%=1,

j=1,i=128,output=2,N_S=128,N_v=128,S_v=0,%=1,

j=1,i=129,output=2,N_S=129,N_v=129,S_v=0,%=1,

j=1,i=130,output=2,N_S=130,N_v=130,S_v=0,%=1,

j=1,i=131,output=2,N_S=131,N_v=131,S_v=0,%=1,

j=1,i=132,output=2,N_S=132,N_v=132,S_v=0,%=1,

j=1,i=133,output=2,N_S=133,N_v=133,S_v=0,%=1,

j=1,i=134,output=2,N_S=134,N_v=134,S_v=0,%=1,

j=1,i=135,output=2,N_S=135,N_v=135,S_v=0,%=1,

j=1,i=136,output=2,N_S=136,N_v=136,S_v=0,%=1,

j=1,i=137,output=2,N_S=137,N_v=137,S_v=0,%=1,

j=1,i=138,output=2,N_S=138,N_v=138,S_v=0,%=1,

j=1,i=139,output=2,N_S=139,N_v=139,S_v=0,%=1,

j=1,i=140,output=2,N_S=140,N_v=140,S_v=0,%=1,

j=1,i=141,output=2,N_S=141,N_v=141,S_v=0,%=1,

j=1,i=142,output=2,N_S=142,N_v=142,S_v=0,%=1,

j=1,i=143,output=2,N_S=143,N_v=143,S_v=0,%=1,

j=1,i=144,output=2,N_S=144,N_v=144,S_v=0,%=1,

j=1,i=145,output=2,N_S=145,N_v=145,S_v=0,%=1,

j=1,i=146,output=2,N_S=146,N_v=146,S_v=0,%=1,

j=1,i=147,output=2,N_S=147,N_v=147,S_v=0,%=1,

j=1,i=148,output=2,N_S=148,N_v=148,S_v=0,%=1,

j=1,i=149,output=2,N_S=149,N_v=149,S_v=0,%=1,

j=1,i=150,output=2,N_S=150,N_v=150,S_v=0,%=1,

j=1,i=151,output=2,N_S=151,N_v=151,S_v=0,%=1,

j=1,i=152,output=2,N_S=152,N_v=152,S_v=0,%=1,

j=1,i=153,output=2,N_S=153,N_v=153,S_v=0,%=1,

j=1,i=154,output=2,N_S=154,N_v=154,S_v=0,%=1,

j=1,i=155,output=2,N_S=155,N_v=155,S_v=0,%=1,

j=1,i=156,output=2,N_S=156,N_v=156,S_v=0,%=1,

j=1,i=157,output=2,N_S=157,N_v=157,S_v=0,%=1,

j=1,i=158,output=2,N_S=158,N_v=158,S_v=0,%=1,

j=1,i=159,output=2,N_S=159,N_v=159,S_v=0,%=1,

j=1,i=160,output=2,N_S=160,N_v=160,S_v=0,%=1,

j=1,i=161,output=2,N_S=161,N_v=161,S_v=0,%=1,

j=1,i=162,output=2,N_S=162,N_v=162,S_v=0,%=1,

j=1,i=163,output=2,N_S=163,N_v=163,S_v=0,%=1,

j=1,i=164,output=2,N_S=164,N_v=164,S_v=0,%=1,

j=1,i=165,output=2,N_S=165,N_v=165,S_v=0,%=1,

j=1,i=166,output=2,N_S=166,N_v=166,S_v=0,%=1,

j=1,i=167,output=2,N_S=167,N_v=167,S_v=0,%=1,

j=1,i=168,output=2,N_S=168,N_v=168,S_v=0,%=1,

j=1,i=169,output=2,N_S=169,N_v=169,S_v=0,%=1,

j=1,i=170,output=2,N_S=170,N_v=170,S_v=0,%=1,

j=1,i=171,output=2,N_S=171,N_v=171,S_v=0,%=1,

j=1,i=172,output=2,N_S=172,N_v=172,S_v=0,%=1,

j=1,i=173,output=2,N_S=173,N_v=173,S_v=0,%=1,

j=1,i=174,output=2,N_S=174,N_v=174,S_v=0,%=1,

j=1,i=175,output=2,N_S=175,N_v=175,S_v=0,%=1,

j=1,i=176,output=2,N_S=176,N_v=176,S_v=0,%=1,

j=1,i=177,output=2,N_S=177,N_v=177,S_v=0,%=1,

j=1,i=178,output=2,N_S=178,N_v=178,S_v=0,%=1,

j=1,i=179,output=2,N_S=179,N_v=179,S_v=0,%=1,

j=1,i=180,output=2,N_S=180,N_v=180,S_v=0,%=1,

j=1,i=181,output=2,N_S=181,N_v=181,S_v=0,%=1,

j=1,i=182,output=2,N_S=182,N_v=182,S_v=0,%=1,

j=1,i=183,output=2,N_S=183,N_v=183,S_v=0,%=1,

j=1,i=184,output=2,N_S=184,N_v=184,S_v=0,%=1,

j=1,i=185,output=2,N_S=185,N_v=185,S_v=0,%=1,

j=1,i=186,output=2,N_S=186,N_v=186,S_v=0,%=1,

j=1,i=187,output=2,N_S=187,N_v=187,S_v=0,%=1,

j=1,i=188,output=2,N_S=188,N_v=188,S_v=0,%=1,

j=1,i=189,output=2,N_S=189,N_v=189,S_v=0,%=1,

j=1,i=190,output=2,N_S=190,N_v=190,S_v=0,%=1,

j=1,i=191,output=2,N_S=191,N_v=191,S_v=0,%=1,

j=1,i=192,output=2,N_S=192,N_v=192,S_v=0,%=1,

j=1,i=193,output=2,N_S=193,N_v=193,S_v=0,%=1,

j=1,i=194,output=2,N_S=194,N_v=194,S_v=0,%=1,

j=1,i=195,output=2,N_S=195,N_v=195,S_v=0,%=1,

j=1,i=196,output=2,N_S=196,N_v=196,S_v=0,%=1,

j=1,i=197,output=2,N_S=197,N_v=197,S_v=0,%=1,

j=1,i=198,output=2,N_S=198,N_v=198,S_v=0,%=1,

j=1,i=199,output=2,N_S=199,N_v=199,S_v=0,%=1,

j=2,i=200,output=2,N_S=200,N_v=200,S_v=0,%=1,

j=2,i=199,output=2,N_S=200,N_v=200,S_v=0,%=0.995,

j=2,i=198,output=2,N_S=200,N_v=200,S_v=0,%=0.99,

j=2,i=197,output=2,N_S=200,N_v=200,S_v=0,%=0.985,

j=2,i=196,output=2,N_S=200,N_v=200,S_v=0,%=0.98,

j=2,i=195,output=2,N_S=200,N_v=200,S_v=0,%=0.975,

j=2,i=194,output=2,N_S=200,N_v=200,S_v=0,%=0.97,

j=2,i=193,output=2,N_S=200,N_v=200,S_v=0,%=0.965,

j=2,i=192,output=2,N_S=200,N_v=200,S_v=0,%=0.96,

j=2,i=191,output=2,N_S=200,N_v=200,S_v=0,%=0.955,

j=2,i=190,output=2,N_S=200,N_v=200,S_v=0,%=0.95,

j=2,i=189,output=2,N_S=200,N_v=200,S_v=0,%=0.945,

j=2,i=188,output=2,N_S=200,N_v=200,S_v=0,%=0.94,

j=2,i=187,output=2,N_S=200,N_v=200,S_v=0,%=0.935,

j=2,i=186,output=2,N_S=200,N_v=200,S_v=0,%=0.93,

j=2,i=185,output=2,N_S=200,N_v=200,S_v=0,%=0.925,

j=2,i=184,output=2,N_S=200,N_v=200,S_v=0,%=0.92,

j=2,i=183,output=2,N_S=200,N_v=200,S_v=0,%=0.915,

j=2,i=182,output=2,N_S=200,N_v=200,S_v=0,%=0.91,

j=2,i=181,output=2,N_S=200,N_v=200,S_v=0,%=0.905,

j=2,i=180,output=2,N_S=200,N_v=200,S_v=0,%=0.9,

j=2,i=179,output=2,N_S=200,N_v=200,S_v=0,%=0.895,

j=2,i=178,output=2,N_S=200,N_v=200,S_v=0,%=0.89,

j=2,i=177,output=2,N_S=200,N_v=200,S_v=0,%=0.885,

j=2,i=176,output=2,N_S=200,N_v=200,S_v=0,%=0.88,

j=2,i=175,output=2,N_S=200,N_v=200,S_v=0,%=0.875,

j=2,i=174,output=2,N_S=200,N_v=200,S_v=0,%=0.87,

j=2,i=173,output=2,N_S=200,N_v=200,S_v=0,%=0.865,

j=2,i=172,output=2,N_S=200,N_v=200,S_v=0,%=0.86,

j=2,i=171,output=2,N_S=200,N_v=200,S_v=0,%=0.855,

j=2,i=170,output=2,N_S=200,N_v=200,S_v=0,%=0.85,

j=2,i=169,output=2,N_S=200,N_v=200,S_v=0,%=0.845,

j=2,i=168,output=2,N_S=200,N_v=200,S_v=0,%=0.84,

j=2,i=167,output=2,N_S=200,N_v=200,S_v=0,%=0.835,

j=2,i=166,output=2,N_S=200,N_v=200,S_v=0,%=0.83,

j=2,i=165,output=2,N_S=200,N_v=200,S_v=0,%=0.825,

j=2,i=164,output=2,N_S=200,N_v=200,S_v=0,%=0.82,

j=2,i=163,output=2,N_S=200,N_v=200,S_v=0,%=0.815,

j=2,i=162,output=2,N_S=200,N_v=200,S_v=0,%=0.81,

j=2,i=161,output=2,N_S=200,N_v=200,S_v=0,%=0.805,

j=2,i=160,output=2,N_S=200,N_v=200,S_v=0,%=0.8,

j=2,i=159,output=2,N_S=200,N_v=200,S_v=0,%=0.795,

j=2,i=158,output=2,N_S=200,N_v=200,S_v=0,%=0.79,

j=2,i=157,output=2,N_S=200,N_v=200,S_v=0,%=0.785,

j=2,i=156,output=2,N_S=200,N_v=200,S_v=0,%=0.78,

j=2,i=155,output=2,N_S=200,N_v=200,S_v=0,%=0.775,

j=2,i=154,output=2,N_S=200,N_v=200,S_v=0,%=0.77,

j=2,i=153,output=2,N_S=200,N_v=200,S_v=0,%=0.765,

j=2,i=152,output=2,N_S=200,N_v=200,S_v=0,%=0.76,

j=2,i=151,output=2,N_S=200,N_v=200,S_v=0,%=0.755,

j=2,i=150,output=2,N_S=200,N_v=200,S_v=0,%=0.75,

j=2,i=149,output=2,N_S=200,N_v=200,S_v=0,%=0.745,

j=2,i=148,output=2,N_S=200,N_v=200,S_v=0,%=0.74,

j=2,i=147,output=2,N_S=200,N_v=200,S_v=0,%=0.735,

j=2,i=146,output=2,N_S=200,N_v=200,S_v=0,%=0.73,

j=2,i=145,output=2,N_S=200,N_v=200,S_v=0,%=0.725,

j=2,i=144,output=2,N_S=200,N_v=200,S_v=0,%=0.72,

j=2,i=143,output=2,N_S=200,N_v=200,S_v=0,%=0.715,

j=2,i=142,output=2,N_S=200,N_v=200,S_v=0,%=0.71,

j=2,i=141,output=2,N_S=200,N_v=200,S_v=0,%=0.705,

j=2,i=140,output=2,N_S=200,N_v=200,S_v=0,%=0.7,

j=2,i=139,output=2,N_S=200,N_v=200,S_v=0,%=0.695,

j=2,i=138,output=2,N_S=200,N_v=200,S_v=0,%=0.69,

j=2,i=137,output=2,N_S=200,N_v=200,S_v=0,%=0.685,

j=2,i=136,output=2,N_S=200,N_v=200,S_v=0,%=0.68,

j=2,i=135,output=2,N_S=200,N_v=200,S_v=0,%=0.675,

j=2,i=134,output=4,N_S=200,N_v=200,S_v=0,%=0.67,

j=2,i=133,output=4,N_S=200,N_v=200,S_v=0,%=0.665,

j=2,i=132,output=4,N_S=200,N_v=200,S_v=0,%=0.66,

j=2,i=131,output=4,N_S=200,N_v=200,S_v=0,%=0.655,

j=2,i=130,output=4,N_S=200,N_v=200,S_v=0,%=0.65,

j=2,i=129,output=4,N_S=200,N_v=200,S_v=0,%=0.645,

j=2,i=128,output=4,N_S=200,N_v=200,S_v=0,%=0.64,

j=2,i=127,output=4,N_S=200,N_v=200,S_v=0,%=0.635,

j=2,i=126,output=4,N_S=200,N_v=200,S_v=0,%=0.63,

j=2,i=125,output=4,N_S=200,N_v=200,S_v=0,%=0.625,

j=2,i=124,output=4,N_S=200,N_v=200,S_v=0,%=0.62,

j=2,i=123,output=4,N_S=200,N_v=200,S_v=0,%=0.615,

j=2,i=122,output=4,N_S=200,N_v=200,S_v=0,%=0.61,

j=2,i=121,output=4,N_S=200,N_v=200,S_v=0,%=0.605,

j=2,i=120,output=4,N_S=200,N_v=200,S_v=0,%=0.6,

j=2,i=119,output=4,N_S=200,N_v=200,S_v=0,%=0.595,

j=2,i=118,output=4,N_S=200,N_v=200,S_v=0,%=0.59,

j=2,i=117,output=4,N_S=200,N_v=200,S_v=0,%=0.585,

j=2,i=116,output=4,N_S=200,N_v=200,S_v=0,%=0.58,

j=2,i=115,output=4,N_S=200,N_v=200,S_v=0,%=0.575,

j=2,i=114,output=4,N_S=200,N_v=200,S_v=0,%=0.57,

j=2,i=113,output=4,N_S=200,N_v=200,S_v=0,%=0.565,

j=2,i=112,output=4,N_S=200,N_v=200,S_v=0,%=0.56,

j=2,i=111,output=4,N_S=200,N_v=200,S_v=0,%=0.555,

j=2,i=110,output=4,N_S=200,N_v=200,S_v=0,%=0.55,

j=2,i=109,output=4,N_S=200,N_v=200,S_v=0,%=0.545,

j=2,i=108,output=4,N_S=200,N_v=200,S_v=0,%=0.54,

j=2,i=107,output=4,N_S=200,N_v=200,S_v=0,%=0.535,

j=2,i=106,output=4,N_S=200,N_v=200,S_v=0,%=0.53,

j=2,i=105,output=4,N_S=200,N_v=200,S_v=0,%=0.525,

j=2,i=104,output=4,N_S=200,N_v=200,S_v=0,%=0.52,

j=2,i=103,output=4,N_S=200,N_v=200,S_v=0,%=0.515,

j=2,i=102,output=4,N_S=200,N_v=200,S_v=0,%=0.51,

j=2,i=101,output=4,N_S=200,N_v=200,S_v=0,%=0.505,

j=2,i=100,output=4,N_S=200,N_v=200,S_v=0,%=0.5,

j=2,i=99,output=4,N_S=200,N_v=200,S_v=0,%=0.495,

j=2,i=98,output=4,N_S=200,N_v=200,S_v=0,%=0.49,

j=2,i=97,output=4,N_S=200,N_v=200,S_v=0,%=0.485,

j=2,i=96,output=4,N_S=200,N_v=200,S_v=0,%=0.48,

j=2,i=95,output=4,N_S=200,N_v=200,S_v=0,%=0.475,

j=2,i=94,output=4,N_S=200,N_v=200,S_v=0,%=0.47,

j=2,i=93,output=4,N_S=200,N_v=200,S_v=0,%=0.465,

j=2,i=92,output=4,N_S=200,N_v=200,S_v=0,%=0.46,

j=2,i=91,output=4,N_S=200,N_v=200,S_v=0,%=0.455,

j=2,i=90,output=4,N_S=200,N_v=200,S_v=0,%=0.45,

j=2,i=89,output=4,N_S=200,N_v=200,S_v=0,%=0.445,

j=2,i=88,output=4,N_S=200,N_v=200,S_v=0,%=0.44,

j=2,i=87,output=4,N_S=200,N_v=200,S_v=0,%=0.435,

j=2,i=86,output=4,N_S=200,N_v=200,S_v=0,%=0.43,

j=2,i=85,output=4,N_S=200,N_v=200,S_v=0,%=0.425,

j=2,i=84,output=4,N_S=200,N_v=200,S_v=0,%=0.42,

j=2,i=83,output=4,N_S=200,N_v=200,S_v=0,%=0.415,

j=2,i=82,output=4,N_S=200,N_v=200,S_v=0,%=0.41,

j=2,i=81,output=4,N_S=200,N_v=200,S_v=0,%=0.405,

j=2,i=80,output=4,N_S=200,N_v=200,S_v=0,%=0.4,

j=2,i=79,output=4,N_S=200,N_v=200,S_v=0,%=0.395,

j=2,i=78,output=4,N_S=200,N_v=200,S_v=0,%=0.39,

j=2,i=77,output=4,N_S=200,N_v=200,S_v=0,%=0.385,

j=2,i=76,output=4,N_S=200,N_v=200,S_v=0,%=0.38,

j=2,i=75,output=4,N_S=200,N_v=200,S_v=0,%=0.375,

j=2,i=74,output=4,N_S=200,N_v=200,S_v=0,%=0.37,

j=2,i=73,output=4,N_S=200,N_v=200,S_v=0,%=0.365,

j=2,i=72,output=4,N_S=200,N_v=200,S_v=0,%=0.36,

j=2,i=71,output=4,N_S=200,N_v=200,S_v=0,%=0.355,

j=2,i=70,output=4,N_S=200,N_v=200,S_v=0,%=0.35,

j=2,i=69,output=4,N_S=200,N_v=200,S_v=0,%=0.345,

j=2,i=68,output=4,N_S=200,N_v=200,S_v=0,%=0.34,

j=2,i=67,output=4,N_S=200,N_v=200,S_v=0,%=0.335,

j=2,i=66,output=4,N_S=200,N_v=200,S_v=0,%=0.33,

j=2,i=65,output=10,N_S=200,N_v=200,S_v=65,%=0,

j=2,i=64,output=1,N_S=136,N_v=200,S_v=64,%=0,

j=2,i=63,output=1,N_S=137,N_v=200,S_v=63,%=0,

j=2,i=62,output=1,N_S=138,N_v=200,S_v=62,%=0,

j=2,i=61,output=1,N_S=139,N_v=200,S_v=61,%=0,

j=2,i=60,output=1,N_S=140,N_v=200,S_v=60,%=0,

j=2,i=59,output=1,N_S=141,N_v=200,S_v=59,%=0,

j=2,i=58,output=1,N_S=142,N_v=200,S_v=58,%=0,

j=2,i=57,output=1,N_S=143,N_v=200,S_v=57,%=0,

j=2,i=56,output=1,N_S=144,N_v=200,S_v=56,%=0,

j=2,i=55,output=1,N_S=145,N_v=200,S_v=55,%=0,

j=2,i=54,output=1,N_S=146,N_v=200,S_v=54,%=0,

j=2,i=53,output=1,N_S=147,N_v=200,S_v=53,%=0,

j=2,i=52,output=1,N_S=148,N_v=200,S_v=52,%=0,

j=2,i=51,output=1,N_S=149,N_v=200,S_v=51,%=0,

j=3,i=50,output=1,N_S=150,N_v=200,S_v=50,%=0,

j=3,i=51,output=1,N_S=150,N_v=200,S_v=50,%=0.00666667,

j=3,i=52,output=1,N_S=150,N_v=200,S_v=50,%=0.0133333,

j=3,i=53,output=1,N_S=150,N_v=200,S_v=50,%=0.02,

j=3,i=54,output=1,N_S=150,N_v=200,S_v=50,%=0.0266667,

j=3,i=55,output=1,N_S=150,N_v=200,S_v=50,%=0.0333333,

j=3,i=56,output=1,N_S=150,N_v=200,S_v=50,%=0.04,

j=3,i=57,output=1,N_S=150,N_v=200,S_v=50,%=0.0466667,

j=3,i=58,output=1,N_S=150,N_v=200,S_v=50,%=0.0533333,

j=3,i=59,output=1,N_S=150,N_v=200,S_v=50,%=0.06,

j=3,i=60,output=1,N_S=150,N_v=200,S_v=50,%=0.0666667,

j=3,i=61,output=1,N_S=150,N_v=200,S_v=50,%=0.0733333,

j=3,i=62,output=1,N_S=150,N_v=200,S_v=50,%=0.08,

j=3,i=63,output=1,N_S=150,N_v=200,S_v=50,%=0.0866667,

j=3,i=64,output=1,N_S=150,N_v=200,S_v=50,%=0.0933333,

j=3,i=65,output=1,N_S=150,N_v=200,S_v=50,%=0.1,

j=3,i=66,output=1,N_S=150,N_v=200,S_v=50,%=0.106667,

j=3,i=67,output=1,N_S=150,N_v=200,S_v=50,%=0.113333,

j=3,i=68,output=1,N_S=150,N_v=200,S_v=50,%=0.12,

j=3,i=69,output=1,N_S=150,N_v=200,S_v=50,%=0.126667,

j=3,i=70,output=1,N_S=150,N_v=200,S_v=50,%=0.133333,

j=3,i=71,output=1,N_S=150,N_v=200,S_v=50,%=0.14,

j=3,i=72,output=1,N_S=150,N_v=200,S_v=50,%=0.146667,

j=3,i=73,output=1,N_S=150,N_v=200,S_v=50,%=0.153333,

j=3,i=74,output=1,N_S=150,N_v=200,S_v=50,%=0.16,

